"","logFC","logCPM","PValue","FDR"
"34127",-9.88751735679345,4.20293819599214,3.43257013902859e-36,1.12632923971945e-31
"98531",-7.23887580396807,1.77765030434562,3.16457380825272e-14,5.19195801850982e-10
"98563",-6.60404548304596,1.27388909080888,1.56662050937088e-11,1.71351729246623e-07
"59730",3.81993229218846,2.19588802720136,1.27408908166819e-06,0.0104516712591946
"62812",-5.56067416893063,3.33486863582097,2.17617785561438e-06,0.0130312663900398
"74124",3.64991183742872,1.8501644284696,2.38282383019653e-06,0.0130312663900398
"90748",-4.26245074756983,2.36414230447961,3.08558554099337e-06,0.0144639026223736
"52510",3.6951261199785,6.92892118302967,1.54202413391436e-05,0.063248047382665
"69586",-4.90208587277712,2.73057730316404,1.95679891279562e-05,0.0713427141395142
"52503",3.82517233442399,6.87240333460358,2.53447848260233e-05,0.0831638424496304
"76420",1.51602348746719,6.30270178447971,7.4300601472421e-05,0.221638694192232
"52509",3.17316760148958,6.33941163083473,8.27015862563382e-05,0.226140595819102
"23329",-2.99723793142145,0.75090481182305,0.000117464544591649,0.274963290937261
"91971",1.63914326196602,5.72883242879831,0.000127768217466315,0.274963290937261
"108893",-1.46337760132896,4.85526419026645,0.000128197483074781,0.274963290937261
"52508",3.26298403080472,6.18409113683544,0.000140953116515436,0.274963290937261
"112897",-3.56111218040331,1.9864079579469,0.000145893450243174,0.274963290937261
"75548",-4.18617714259541,1.89046554407005,0.000150834706880526,0.274963290937261
"112971",2.90669336228263,4.02952238670527,0.000179237270591743,0.304897003043584
"44837",4.00736246740082,4.82626704355072,0.000196066864722081,0.304897003043584
"51456",3.47350174047559,2.00281741708567,0.000198150354122653,0.304897003043584
"33528",-4.57222524536383,3.03837225968687,0.00020442306607012,0.304897003043584
"69757",1.68133573576664,5.28536430913967,0.000220836003795003,0.31505616489241
"33526",-2.71173112351836,4.20516525777214,0.000239884991714991,0.316593431585722
"62188",1.8209816132829,6.93051453743961,0.000243288065579442,0.316593431585722
"112970",2.6464052232649,4.13839572182735,0.000250858782227433,0.316593431585722
"45644",3.56870922358309,3.37590142807043,0.000264377964707531,0.319234806610057
"99388",-3.98338376627614,2.00192880253344,0.000272409550637906,0.319234806610057
"86591",3.61986915989733,2.88360040917624,0.000304999243995264,0.345101385972986
"80026",-3.58531286975852,4.23260632270127,0.00033502207380542,0.351594557883751
"104311",4.11990328369599,3.34272201895892,0.000336634736913746,0.351594557883751
"76433",1.80558335321413,4.18608981293581,0.000342883182040046,0.351594557883751
"57643",1.74962391177624,5.03499224543343,0.000377617744438987,0.356020664810004
"106536",2.7653562760272,2.38154899353519,0.000378961300756524,0.356020664810004
"52035",-2.45242909570357,1.70846480981615,0.000379749589136931,0.356020664810004
"43282",3.46163256049177,7.69143797481339,0.000416051972182864,0.379219815645453
"62731",1.65991504138259,8.95900236565716,0.000429539251682234,0.380931661228356
"96099",-2.39921247342645,2.84837611996483,0.000485494128812447,0.419224180229548
"113312",-2.57492917573459,4.16238652611157,0.000582760180920794,0.49031050811677
"53554",-4.44053874083855,2.16488706795523,0.000601925864193269,0.493774834544343
"86202",2.43805592982264,1.6352995178617,0.000651875541233483,0.521707125231567
"56636",2.06986228774139,3.17196457703543,0.000717396013688112,0.560474176122572
"113582",1.47244969521063,4.34116465023703,0.000771683623531927,0.588866389277979
"102713",2.68393904023745,1.50790693253949,0.000811223734334432,0.604970099879903
"40060",-2.93586487343298,1.46556709568041,0.00084538714504368,0.605575521857077
"42256",2.64781880380088,1.3492306840564,0.000848946271460261,0.605575521857077
"74146",1.60865168364033,6.57880391297698,0.000897949474383739,0.625239412018243
"52635",-2.58098341618022,1.0145653527487,0.000933667360336328,0.625239412018243
"80701",1.30669334860433,5.00668262742304,0.000943694760904525,0.625239412018243
"97264",2.5207520979083,5.76759172873915,0.000957076738025916,0.625239412018243
"67861",3.05465517479473,1.20018752052369,0.000982945758015804,0.625239412018243
"80386",3.21121465760272,6.2576547433791,0.00101854725366674,0.625239412018243
"23226",1.80174551996535,4.01855085964304,0.00103679210270416,0.625239412018243
"53405",2.35566114511446,3.58715299784995,0.00104790281317389,0.625239412018243
"43683",1.56348028111879,5.89234367536629,0.00104800437817339,0.625239412018243
"91652",-2.82776474324718,1.40153698351114,0.00118741426699774,0.695761148982085
"101150",1.43234636135131,6.51122901182879,0.00122153094549987,0.702952783036504
"32082",-1.34323380426422,4.94417992360145,0.00124253379502384,0.702952783036504
"81610",3.56317782302226,1.66741889045098,0.00132849078324078,0.738843526618301
"20455",1.58300939530424,3.89082180710961,0.00140167857539686,0.757380174985987
"66106",3.39584637787914,1.44849404291358,0.00140798435602186,0.757380174985987
"80775",-1.23838063699487,5.93932992903635,0.00144110507751668,0.762693240460563
"72118",-2.25232176473463,0.986767689792606,0.0014980180179581,0.774631498705316
"37491",3.1810287335907,1.85143433462423,0.00152505705346806,0.774631498705316
"43188",3.71770984777392,2.43825552396106,0.00153448472909656,0.774631498705316
"112709",4.40420522512876,2.93060084662498,0.00156343250066503,0.777286524913962
"31475",3.15160991837489,2.45622095398959,0.00160408093499998,0.785463739297051
"77604",-2.01538330649855,1.50373958647544,0.00162775528821502,0.785463739297051
"44704",3.22301323268985,2.23344933452049,0.00167926598763314,0.798576157278352
"62727",1.69015079907222,4.48492044736191,0.00172792530669166,0.802585149445986
"66776",4.16844215810007,3.65496387911731,0.0017988083386612,0.802585149445986
"52084",2.36446323500352,1.66447359959136,0.00182087368981416,0.802585149445986
"58242",2.15459357307228,7.79132735081668,0.00183760756496036,0.802585149445986
"107681",-1.0611547584177,5.29743662205683,0.0018473771875645,0.802585149445986
"44827",3.24390250240623,1.9720402634812,0.00184791885685293,0.802585149445986
"32858",2.92540534924968,4.3105961784571,0.00185891175320437,0.802585149445986
"110723",1.95452754778835,4.10832229382012,0.00196001651636035,0.835247038328989
"86429",0.958423899402917,6.72049971115294,0.00199185883191761,0.837934151945033
"50768",2.80544247202646,3.16555663143306,0.00203080119745535,0.843502274583574
"44703",1.49818670569906,4.5315002377934,0.00206797513609499,0.84820585175856
"39755",2.56756402974616,1.6471315603587,0.00213885089028946,0.863143967550804
"27790",2.77471448940204,2.39327702639919,0.00215700500835541,0.863143967550804
"35760",-2.37461020786428,1.74770966929223,0.00229850259469532,0.908683923370333
"111771",0.775830026271608,5.93051908717914,0.00238611301703658,0.932089600333589
"86635",2.614916654435,2.35144508153697,0.00246152373906577,0.948025813152254
"82062",-2.37569936235478,1.48858095546267,0.00248469265020248,0.948025813152254
"7712",-2.68540541802872,1.16221782104139,0.00257178860767791,0.965866318372333
"45104",-1.71315645260625,2.13722399399239,0.00259491949800036,0.965866318372333
"82856",2.62502014991937,0.783806426635387,0.00261975748438538,0.965866318372333
"34125",0.807950582681154,6.44937615981303,0.00271440175397678,0.989640719480446
"75547",2.72084763445512,2.06602987759225,0.00274559272232254,0.990012461511753
"37531",1.15634966478007,4.17714356523233,0.00282863466724706,1
"107372",3.23008436442925,1.31188987198706,0.00296715167363316,1
"49151",-1.6678990822378,4.26175300647544,0.00299333135416295,1
"90553",2.40403618960598,3.56569514570835,0.00311557019637349,1
"29181",2.59836292306649,5.27451177814728,0.0031388178630485,1
"56044",-1.53836251480547,1.58765482738679,0.00314862244993905,1
"62722",2.03438074473323,2.82465857649087,0.00320340905925427,1
"62185",1.81665564157908,6.32373248037557,0.00334782521659497,1
"37323",-1.11293816539175,4.6942589936504,0.00340514997566069,1
"86454",1.42148091885442,8.28227302446354,0.00343322864424962,1
"42841",2.08439706104617,3.07010495857662,0.00364544763634684,1
"30709",2.43470801937754,4.29741507552078,0.0036710632223944,1
"72305",-1.38320134570902,3.07558087864953,0.00375432004673898,1
"20714",2.20465960937162,1.66605850372043,0.00376445971695191,1
"98623",0.903987102618345,5.94973844921952,0.0037903807822222,1
"13869",-1.58776861284876,4.19075884351319,0.00379250256596814,1
"98580",-1.93864412610612,2.39979244415818,0.00398291850028179,1
"99741",-2.16639514135086,4.97939954312293,0.00414064165512373,1
"97183",0.810072866493687,6.15348304488176,0.00414593136174742,1
"83718",-1.05276495412638,5.1463568895806,0.00418942196934804,1
"76423",2.19665806390336,3.5767439026349,0.00419400536361368,1
"105665",-2.21767259407179,0.809320480759885,0.00420511498260857,1
"112946",-3.48737511351545,2.54256215173796,0.00428130280447056,1
"28526",1.97912427681243,1.43307509263093,0.00428712452076452,1
"81907",1.86339619597442,0.961351681054944,0.00433607039828714,1
"55996",1.43893511843359,5.01237128709658,0.00439898374768394,1
"53016",-2.94121594663079,2.27473901972451,0.00446336512925064,1
"90216",-0.816540355960586,5.99028622750219,0.00448464618437459,1
"92963",-3.55861852145694,2.17492329716981,0.00450317772928651,1
"66157",-1.42979701009977,3.11142537731135,0.00462998108126518,1
"42704",-3.41933345091323,2.92111004631304,0.00464210340386983,1
"80266",1.09693089285809,7.24675764223323,0.00475053578397101,1
"33570",-1.93281929951809,4.52678399368865,0.00483606192103737,1
"72261",3.21623675026647,2.69040457934396,0.00504017121614921,1
"71254",1.70392540458782,1.3382311486274,0.0052236623386952,1
"82610",2.45198771029462,6.71112161625051,0.00527059040543046,1
"61695",2.6118728050864,4.05207245771211,0.00528981324140699,1
"58523",2.14406129146497,7.01616389856538,0.00538718473905978,1
"63011",-3.02195991649358,2.86666897338043,0.00539343641193235,1
"74150",1.11972696251479,8.88694176516947,0.0056512765477206,1
"76422",1.07778366819115,6.9390528267419,0.00569411009928052,1
"76857",2.48732392627947,2.07696781527059,0.00571131639222105,1
"92255",-0.954933724645863,4.44391809783227,0.00574726174363216,1
"56721",1.66457665587563,1.32713614659491,0.00575346119297048,1
"82542",1.62732761182866,1.71337761611218,0.00581441397331031,1
"95994",1.06041013430669,5.99754321719465,0.00586554545652039,1
"59584",-1.52430563940523,2.78081142338947,0.00593370975824597,1
"93825",2.27517824400876,2.49231176321264,0.00596659038409271,1
"104999",2.33775310778524,2.78656945951392,0.0060151680208399,1
"103312",1.88415954119152,3.07141350723589,0.00602507519019661,1
"90057",-1.13121626945376,3.67911834764242,0.00603573056403432,1
"95274",2.62460826948296,1.39821398063512,0.00608519275603304,1
"82414",-2.40239940877065,3.53123810581212,0.00611362338562458,1
"91486",2.84442646868623,1.72333208277519,0.00612705319316837,1
"15386",3.30283814935107,6.21505620326417,0.00626495858471299,1
"50774",1.56870238418402,4.29140234364984,0.00627199805566046,1
"29423",1.52454247902128,1.18921048468124,0.00654049903948664,1
"31812",1.77642275896389,3.44206363397708,0.00696194409165803,1
"105376",2.70613457488773,2.69266477063479,0.00710548080275345,1
"110523",3.12053326206607,3.48797857665568,0.00725314103354817,1
"88993",-3.09728141825971,1.78275712770725,0.00726931812494815,1
"66638",3.35526869191572,2.56974945053344,0.00732777344209266,1
"110902",-2.43064387594489,2.25086542103886,0.00733344242828624,1
"67926",2.11395531574804,1.03652465323606,0.00734830414658943,1
"62590",2.59560971983391,1.87730520897469,0.00741482867841672,1
"93723",-3.04609843005701,1.79472536353823,0.0074240296844427,1
"99781",1.23033622411532,5.04750952641888,0.00747353746695202,1
"100204",-1.73371897195571,4.81930006524371,0.00764692096004092,1
"70867",0.76251590315294,7.63188374830556,0.00779454777898253,1
"86982",-0.715219786836492,5.42801615305989,0.00781875948432002,1
"62721",1.47571315616682,3.23582865521851,0.00782115725151459,1
"70693",-2.12131371499788,4.36180464573174,0.00784108972580373,1
"72964",-0.78308393151775,5.12511544591373,0.00784127203826742,1
"58393",1.96378638020411,2.8793034769775,0.00788448723778184,1
"56175",-2.36966511020687,1.2500607295666,0.0079414883382423,1
"20457",0.973483630165528,6.45749863094227,0.00811339236598105,1
"109459",1.36998480858236,5.66972899873965,0.00816720670337243,1
"99749",-2.17046002474849,3.80517439345792,0.00828032653639467,1
"25036",2.00438310366592,2.49983788850348,0.00830445744638673,1
"55011",-1.53133772262229,3.76101795529293,0.00831790062967892,1
"89349",-1.91725316275993,1.66152370472166,0.00845928368620728,1
"39669",1.30773373119248,2.18771285634171,0.00850231590684727,1
"63356",-1.14571860650173,3.02611344817746,0.00859936376326546,1
"112321",-1.45416476429323,2.9735667742123,0.00862547660124169,1
"62160",2.02275923642484,1.11318168205317,0.00885455376535875,1
"88767",-1.62308017291704,3.88433203515431,0.0088955421408602,1
"51268",-0.766138962870342,4.61778759570799,0.00899829143909034,1
"100381",1.90089920347918,3.7788322362871,0.00907332525126161,1
"28744",1.36409297003274,2.18169779297374,0.00908200822130948,1
"50111",-1.0355255760679,5.37649823149762,0.00928858924530148,1
"58640",1.92240452744712,1.58133094894871,0.0093087965946422,1
"116030",2.39172369809851,3.45436819893655,0.00935634227948468,1
